"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"173","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 01:31:18,FALSE,NA,"1044761297387233285",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roo_b_arts",8,TRUE,FALSE,NA,NA
"174","""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,15,NA,2018-09-26 01:21:19,FALSE,NA,"1044758784441233409",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hwatkins927",8,FALSE,FALSE,NA,NA
"175","RT @mfaboston: Who doesn’t want a tunic embellished with lobsters? Perfect for #NationalLobsterDay! (<U+0001F3A8>: Female effigy bottle, Nasca, 550–65…",FALSE,0,NA,2018-09-26 00:27:51,FALSE,NA,"1044745329436909568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arthistory4all",5,TRUE,FALSE,NA,NA
"176","RT @mfaboston: Who doesn’t want a tunic embellished with lobsters? Perfect for #NationalLobsterDay! (<U+0001F3A8>: Female effigy bottle, Nasca, 550–65…",FALSE,0,NA,2018-09-25 22:10:33,FALSE,NA,"1044710775334555654",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngelaBritzman",5,TRUE,FALSE,NA,NA
"177","RT @mfaboston: Who doesn’t want a tunic embellished with lobsters? Perfect for #NationalLobsterDay! (<U+0001F3A8>: Female effigy bottle, Nasca, 550–65…",FALSE,0,NA,2018-09-25 21:34:42,FALSE,NA,"1044701752723992582",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Laurel891",5,TRUE,FALSE,NA,NA
"178","RT @mfaboston: Who doesn’t want a tunic embellished with lobsters? Perfect for #NationalLobsterDay! (<U+0001F3A8>: Female effigy bottle, Nasca, 550–65…",FALSE,0,NA,2018-09-25 21:32:57,FALSE,NA,"1044701315572662272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EarthaKitteh",5,TRUE,FALSE,NA,NA
"179","Who doesn’t want a tunic embellished with lobsters? Perfect for #NationalLobsterDay! (<U+0001F3A8>: Female effigy bottle, Nasc… https://t.co/AbBM9bdDlL",FALSE,51,NA,2018-09-25 21:30:01,TRUE,NA,"1044700575126966272",NA,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Prod1</a>","mfaboston",5,FALSE,FALSE,NA,NA
"180","RT @alvarobendrell: ”En Perú tenemos un gran ejemplo de Economía Circular. Los pallets (madera) que se usaron para almacenar los paneles so…",FALSE,0,NA,2018-09-25 20:23:33,FALSE,NA,"1044683847974211586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luis_flores_a",2,TRUE,FALSE,NA,NA
"181","@BarstoolNate @barry The Peruvian Andes? That is very creepy and specific. Someone run a check for missing women in Peru",FALSE,2,"BarstoolNate",2018-09-25 19:42:52,FALSE,"1044670301525757957","1044673612421238786","216766313","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JTRIII3",0,FALSE,FALSE,NA,NA
"182","Now is the time to take the next step in your Journey: join @hannahadamsyoga and I for the experience of a lifetime… https://t.co/K8wXNVwBmT",FALSE,0,NA,2018-09-25 19:24:05,TRUE,NA,"1044668881929998337",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AliSingerYoga",0,FALSE,FALSE,NA,NA
"183","Season One I binged on on the way to hike up to 14,000 feet in Peru’s Cordillera Blanca.

Season Two I listened to… https://t.co/fnxEeDMEUk",FALSE,2,NA,2018-09-25 18:16:57,TRUE,NA,"1044651988858941440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aleszubajak",0,FALSE,FALSE,NA,NA
"184","RT @lesliefriday: Proud of the work @SociosEnSalud has done in #Peru as part of @endTB. We're delivering new drugs to patients w/ extensive…",FALSE,0,NA,2018-09-25 17:37:22,FALSE,NA,"1044642028569616384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PIHCanada",5,TRUE,FALSE,NA,NA
"185","Perú presente en el #EnelFocusOn. Un gusto ver a @maralegre en la discusión sobre #ValorCompartido y participando s… https://t.co/0WOS91ixUs",FALSE,13,NA,2018-09-25 16:31:01,TRUE,NA,"1044625329388736513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alvarobendrell",1,FALSE,FALSE,NA,NA
"186","RT @_GlassStars_: Comet coming through! We had a series of glass plates featuring comets breeze through the digitization pipeline this mont…",FALSE,0,NA,2018-09-25 15:43:24,FALSE,NA,"1044613345389809664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tracy_karin",1,TRUE,FALSE,NA,NA
"187","@scottsflights Peru! Went recently!!",FALSE,1,"scottsflights",2018-09-25 15:11:27,FALSE,"1044574960851841024","1044605307106861056","4924046660","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NatDeVarona",0,FALSE,FALSE,NA,NA
"188","”Our Wayra wind farm in Peru re-use the water for other purposes like agriculture. We have the moral duty to levera… https://t.co/NMirB1iBIJ",FALSE,6,NA,2018-09-25 15:02:16,TRUE,NA,"1044602995281973248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alvarobendrell",0,FALSE,FALSE,NA,NA
"189","Comet coming through! We had a series of glass plates featuring comets breeze through the digitization pipeline thi… https://t.co/GaxquTxnvZ",FALSE,9,NA,2018-09-25 14:04:00,TRUE,NA,"1044588332179771392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","_GlassStars_",1,FALSE,FALSE,NA,NA
"190","RT @alvarobendrell: ”En Perú tenemos un gran ejemplo de Economía Circular. Los pallets (madera) que se usaron para almacenar los paneles so…",FALSE,0,NA,2018-09-25 13:36:35,FALSE,NA,"1044581433161920512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MPapets",2,TRUE,FALSE,NA,NA
"191","”En Perú tenemos un gran ejemplo de Economía Circular. Los pallets (madera) que se usaron para almacenar los panele… https://t.co/wN5Rq1FyR6",FALSE,16,NA,2018-09-25 13:35:12,TRUE,NA,"1044581083277393921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alvarobendrell",2,FALSE,FALSE,NA,NA
"192","The Best Luxury Hotels in Peru: Belmond Hotels - Carmen Edelson - Luxury Travel Blogger https://t.co/jBxsJXdNye",FALSE,1,NA,2018-09-25 13:03:07,FALSE,NA,"1044573011825840128",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","Enjoytravellif1",0,FALSE,FALSE,NA,NA
"193","RT @NECN: Thanks to a woman in Peru who spotted the duo, the penguins were rescued and transported to officials so they receive care.
https…",FALSE,0,NA,2018-09-25 11:33:28,FALSE,NA,"1044550449284689920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Beckaroo21",2,TRUE,FALSE,NA,NA
"194","RT @NECN: Thanks to a woman in Peru who spotted the duo, the penguins were rescued and transported to officials so they receive care.
https…",FALSE,0,NA,2018-09-25 11:11:20,FALSE,NA,"1044544878057869313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010Erinbrooke",2,TRUE,FALSE,NA,NA
"195","Thanks to a woman in Peru who spotted the duo, the penguins were rescued and transported to officials so they recei… https://t.co/q5aXtVLakn",FALSE,2,NA,2018-09-25 11:00:13,TRUE,NA,"1044542079781793796",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NECN",2,FALSE,FALSE,NA,NA
"196","RT @arjcanella: @dosanjosgabriel E o Peru que em inglês se chama Turkey (Turquia) e na Turquia se chama Hindi (Índia)?",FALSE,0,NA,2018-09-25 09:43:45,FALSE,NA,"1044522837288132608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lenaa_andrade",18,TRUE,FALSE,NA,NA
"197","RT @arjcanella: @dosanjosgabriel E o Peru que em inglês se chama Turkey (Turquia) e na Turquia se chama Hindi (Índia)?",FALSE,0,NA,2018-09-25 06:33:58,FALSE,NA,"1044475078832984065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hmonise",18,TRUE,FALSE,NA,NA
"198","“Los políticos son el reflejo de sus electores” ¿Cuánto mejoraría el Perú y el mundo si en nuestra vida diaria hace… https://t.co/GdNHVXl8bF",FALSE,0,NA,2018-09-25 06:26:17,TRUE,NA,"1044473142738063361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nikoska_n",0,FALSE,FALSE,NA,NA
